Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-1.472
Vertical Scale,0.2
Label,
TIME,CH1
-4.0000e-01,-1.33781
-3.9960e-01,-1.33509
-3.9920e-01,-1.33091
-3.9880e-01,-1.33119
-3.9840e-01,-1.32941
-3.9800e-01,-1.32912
-3.9760e-01,-1.32719
-3.9720e-01,-1.32703
-3.9680e-01,-1.32681
-3.9640e-01,-1.33003
-3.9600e-01,-1.33166
-3.9560e-01,-1.33444
-3.9520e-01,-1.33622
-3.9480e-01,-1.33769
-3.9440e-01,-1.34028
-3.9400e-01,-1.34128
-3.9360e-01,-1.34331
-3.9320e-01,-1.343
-3.9280e-01,-1.34297
-3.9240e-01,-1.34025
-3.9200e-01,-1.33909
-3.9160e-01,-1.33791
-3.9120e-01,-1.33475
-3.9080e-01,-1.33275
-3.9040e-01,-1.32972
-3.9000e-01,-1.32931
-3.8960e-01,-1.32734
-3.8920e-01,-1.32697
-3.8880e-01,-1.32744
-3.8840e-01,-1.32744
-3.8800e-01,-1.32981
-3.8760e-01,-1.33153
-3.8720e-01,-1.33375
-3.8680e-01,-1.33603
-3.8640e-01,-1.33959
-3.8600e-01,-1.34187
-3.8560e-01,-1.34241
-3.8520e-01,-1.34247
-3.8480e-01,-1.34344
-3.8440e-01,-1.34184
-3.8400e-01,-1.3415
-3.8360e-01,-1.34044
-3.8320e-01,-1.337
-3.8280e-01,-1.33456
-3.8240e-01,-1.33109
-3.8200e-01,-1.32991
-3.8160e-01,-1.32753
-3.8120e-01,-1.32781
-3.8080e-01,-1.32731
-3.8040e-01,-1.32872
-3.8000e-01,-1.33034
-3.7960e-01,-1.33069
-3.7920e-01,-1.33203
-3.7880e-01,-1.33525
-3.7840e-01,-1.33813
-3.7800e-01,-1.33975
-3.7760e-01,-1.34147
-3.7720e-01,-1.34278
-3.7680e-01,-1.34378
-3.7640e-01,-1.34319
-3.7600e-01,-1.34175
-3.7560e-01,-1.33925
-3.7520e-01,-1.33972
-3.7480e-01,-1.33572
-3.7440e-01,-1.33272
-3.7400e-01,-1.33441
-3.7360e-01,-1.32897
-3.7320e-01,-1.32769
-3.7280e-01,-1.32791
-3.7240e-01,-1.32997
-3.7200e-01,-1.32612
-3.7160e-01,-1.32859
-3.7120e-01,-1.32994
-3.7080e-01,-1.33259
-3.7040e-01,-1.33506
-3.7000e-01,-1.33759
-3.6960e-01,-1.3395
-3.6920e-01,-1.34147
-3.6880e-01,-1.34409
-3.6840e-01,-1.34316
-3.6800e-01,-1.34322
-3.6760e-01,-1.34228
-3.6720e-01,-1.33934
-3.6680e-01,-1.33987
-3.6640e-01,-1.33522
-3.6600e-01,-1.33434
-3.6560e-01,-1.33062
-3.6520e-01,-1.33006
-3.6480e-01,-1.32844
-3.6440e-01,-1.32641
-3.6400e-01,-1.32656
-3.6360e-01,-1.32725
-3.6320e-01,-1.32972
-3.6280e-01,-1.33069
-3.6240e-01,-1.33319
-3.6200e-01,-1.33384
-3.6160e-01,-1.33862
-3.6120e-01,-1.34006
-3.6080e-01,-1.34147
-3.6040e-01,-1.34278
-3.6000e-01,-1.34175
-3.5960e-01,-1.34081
-3.5920e-01,-1.34144
-3.5880e-01,-1.33956
-3.5840e-01,-1.33853
-3.5800e-01,-1.33675
