Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-3.1880e-01,-0.112548
-3.1840e-01,-0.112358
-3.1800e-01,-0.11268
-3.1760e-01,-0.11277
-3.1720e-01,-0.1131
-3.1680e-01,-0.113169
-3.1640e-01,-0.112975
-3.1600e-01,-0.113173
-3.1560e-01,-0.112797
-3.1520e-01,-0.113006
-3.1480e-01,-0.113025
-3.1440e-01,-0.113186
-3.1400e-01,-0.112542
-3.1360e-01,-0.112738
-3.1320e-01,-0.112181
-3.1280e-01,-0.113094
-3.1240e-01,-0.112917
-3.1200e-01,-0.112495
-3.1160e-01,-0.11312
-3.1120e-01,-0.112783
-3.1080e-01,-0.112742
-3.1040e-01,-0.113091
-3.1000e-01,-0.112561
-3.0960e-01,-0.113
-3.0920e-01,-0.112972
-3.0880e-01,-0.112897
-3.0840e-01,-0.112517
-3.0800e-01,-0.113156
-3.0760e-01,-0.112411
-3.0720e-01,-0.113412
-3.0680e-01,-0.113139
-3.0640e-01,-0.112473
-3.0600e-01,-0.112259
-3.0560e-01,-0.113145
-3.0520e-01,-0.112756
-3.0480e-01,-0.112791
-3.0440e-01,-0.112828
-3.0400e-01,-0.112638
-3.0360e-01,-0.11257
-3.0320e-01,-0.112756
-3.0280e-01,-0.112873
-3.0240e-01,-0.113014
-3.0200e-01,-0.112853
-3.0160e-01,-0.112728
-3.0120e-01,-0.112366
-3.0080e-01,-0.112653
-3.0040e-01,-0.112989
-3.0000e-01,-0.1129
-2.9960e-01,-0.11283
-2.9920e-01,-0.112641
-2.9880e-01,-0.112841
-2.9840e-01,-0.112786
-2.9800e-01,-0.11318
-2.9760e-01,-0.113089
-2.9720e-01,-0.113266
-2.9680e-01,-0.112859
-2.9640e-01,-0.11268
-2.9600e-01,-0.112106
-2.9560e-01,-0.112797
-2.9520e-01,-0.113473
-2.9480e-01,-0.112753
-2.9440e-01,-0.1124
-2.9400e-01,-0.11318
-2.9360e-01,-0.113317
-2.9320e-01,-0.112564
-2.9280e-01,-0.1123
-2.9240e-01,-0.113545
-2.9200e-01,-0.113083
-2.9160e-01,-0.113213
-2.9120e-01,-0.113283
-2.9080e-01,-0.112798
-2.9040e-01,-0.112214
-2.9000e-01,-0.112775
-2.8960e-01,-0.112711
-2.8920e-01,-0.113306
-2.8880e-01,-0.11257
-2.8840e-01,-0.113609
-2.8800e-01,-0.113006
-2.8760e-01,-0.112723
-2.8720e-01,-0.11265
-2.8680e-01,-0.112731
-2.8640e-01,-0.112864
-2.8600e-01,-0.112558
-2.8560e-01,-0.112872
-2.8520e-01,-0.113306
-2.8480e-01,-0.113242
-2.8440e-01,-0.112647
-2.8400e-01,-0.113153
-2.8360e-01,-0.112594
-2.8320e-01,-0.113072
-2.8280e-01,-0.112816
-2.8240e-01,-0.112791
-2.8200e-01,-0.112453
-2.8160e-01,-0.113058
-2.8120e-01,-0.113523
-2.8080e-01,-0.112214
-2.8040e-01,-0.112514
-2.8000e-01,-0.112758
-2.7960e-01,-0.113536
-2.7920e-01,-0.112973
-2.7880e-01,-0.112808
-2.7840e-01,-0.113448
-2.7800e-01,-0.112981
-2.7760e-01,-0.112733
-2.7720e-01,-0.112536
-2.7680e-01,-0.112939
-2.7640e-01,-0.112745
-2.7600e-01,-0.112798
-2.7560e-01,-0.112973
-2.7520e-01,-0.112809
-2.7480e-01,-0.113172
-2.7440e-01,-0.112858
-2.7400e-01,-0.112953
-2.7360e-01,-0.113633
-2.7320e-01,-0.113248
-2.7280e-01,-0.11295
-2.7240e-01,-0.112508
-2.7200e-01,-0.112291
-2.7160e-01,-0.11335
-2.7120e-01,-0.113314
-2.7080e-01,-0.112616
-2.7040e-01,-0.112463
-2.7000e-01,-0.113144
-2.6960e-01,-0.113145
-2.6920e-01,-0.113142
-2.6880e-01,-0.11305
-2.6840e-01,-0.112681
-2.6800e-01,-0.112886
-2.6760e-01,-0.112642
-2.6720e-01,-0.112753
-2.6680e-01,-0.112864
-2.6640e-01,-0.11358
-2.6600e-01,-0.112698
-2.6560e-01,-0.113108
-2.6520e-01,-0.112833
-2.6480e-01,-0.1127
-2.6440e-01,-0.112787
-2.6400e-01,-0.113037
-2.6360e-01,-0.112963
-2.6320e-01,-0.112397
-2.6280e-01,-0.112736
-2.6240e-01,-0.112669
-2.6200e-01,-0.113283
-2.6160e-01,-0.112942
-2.6120e-01,-0.113122
-2.6080e-01,-0.112909
-2.6040e-01,-0.112698
-2.6000e-01,-0.112989
-2.5960e-01,-0.112844
-2.5920e-01,-0.112778
-2.5880e-01,-0.112819
-2.5840e-01,-0.112755
-2.5800e-01,-0.113589
-2.5760e-01,-0.112466
-2.5720e-01,-0.112528
-2.5680e-01,-0.113059
-2.5640e-01,-0.11243
-2.5600e-01,-0.112639
-2.5560e-01,-0.112684
-2.5520e-01,-0.11333
-2.5480e-01,-0.112786
